,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Bara,10.3744,10.7288,64.29,29,100,7.56,NG,1673922180
124,Ouégoa,-20.35,164.4333,82.53,66,100,11.52,NC,1673922180
125,Cidreira,-30.1811,-50.2056,74.23,82,69,11.12,BR,1673922180
126,Kānker,20.2719,81.4931,61.14,65,0,3.24,IN,1673922181
127,Faanui,-16.4833,-151.75,81.84,58,91,15.39,PF,1673922181
128,Soyaux,45.65,0.2,40.98,90,100,10.36,FR,1673922182
129,Albany,42.6001,-73.9662,29.26,68,10,1.01,US,1673921887
130,Syriam,16.7722,96.2378,73.51,88,46,3.44,MM,1673922184
131,Leningradskiy,69.3833,178.4167,-31.04,96,10,4.29,RU,1673922185
132,Alice Springs,-23.7,133.8833,92.75,40,2,10.36,AU,1673922186
133,Raudeberg,61.9875,5.1352,36.27,64,100,8.37,NO,1673922186
134,Brae,60.3964,-1.353,39.36,63,95,20.87,GB,1673922036
135,Cherskiy,68.75,161.3,-35.77,95,100,3.22,RU,1673922103
136,Esperance,-33.8667,121.9,62.28,57,94,14.2,AU,1673922187
137,Zacualpan,21.25,-105.1667,69.26,63,100,3.44,MX,1673922188
138,Vila Franca do Campo,37.7167,-25.4333,55.81,81,99,6.58,PT,1673922188
139,Lüderitz,-26.6481,15.1594,66.65,85,100,1.48,NA,1673922122
140,Hasaki,35.7333,140.8333,43.21,49,98,5.7,JP,1673922189
141,Hirara,24.8,125.2833,67.86,72,75,11.5,JP,1673921914
142,Gardez,33.5974,69.2259,9.77,41,0,3.33,AF,1673922190
143,Chutove,49.7104,35.1603,32.88,81,100,14.18,UA,1673922119
144,Grand Gaube,-20.0064,57.6608,79.38,69,9,10.0,MU,1673922191
145,Souillac,-20.5167,57.5167,79.18,73,40,12.66,MU,1673922191
146,Batagay,67.6333,134.6333,-47.97,99,100,0.47,RU,1673922192
147,Socuéllamos,39.2858,-2.7921,45.37,82,100,38.07,ES,1673922192
148,Aksarka,66.5606,67.7975,14.49,96,100,6.4,RU,1673922193
149,San Rafael del Sur,11.8485,-86.4384,74.37,61,6,12.5,NI,1673922193
150,Arraial do Cabo,-22.9661,-42.0278,74.12,90,1,22.39,BR,1673922194
151,Hobart,-42.8794,147.3294,83.05,50,20,12.66,AU,1673922019
152,Kekri,25.9667,75.15,43.07,38,0,4.76,IN,1673922195
153,San Luis,-33.295,-66.3356,77.14,33,47,11.59,AR,1673922195
154,Deniliquin,-35.5333,144.9667,96.98,24,0,11.52,AU,1673922196
155,Cabo San Lucas,22.8909,-109.9124,71.51,71,40,8.05,MX,1673922107
156,Vaini,-21.2,-175.2,84.36,74,75,8.05,TO,1673922197
157,Pevek,69.7008,170.3133,-31.41,99,15,1.74,RU,1673922094
158,Zhangaözen,43.3,52.8,23.27,40,5,11.65,KZ,1673922198
159,Starobaltachevo,56.0013,55.9213,-2.29,85,3,4.85,RU,1673921969
160,Petropavl,54.8753,69.1628,3.18,66,0,11.18,KZ,1673922198
161,Isangel,-19.55,169.2667,82.31,61,98,11.72,VU,1673922199
162,Krasnosel'kup,65.7,82.4667,-34.15,98,13,5.93,RU,1673922199
163,Poum,-20.2333,164.0167,80.55,69,99,10.4,NC,1673922200
164,Santa Isabel Rio Negro,-0.4139,-65.0192,72.82,88,99,1.01,BR,1673922200
165,Arkhara,49.4212,130.0842,-6.52,95,100,5.79,RU,1673922201
166,Codrington,-38.2667,141.9667,97.63,18,89,12.86,AU,1673922201
167,Northampton,40.8754,-75.2499,36.64,49,1,5.14,US,1673922164
168,Bowmore,34.9421,-79.3031,50.76,61,0,0.0,US,1673922202
169,Butaritari,3.0707,172.7902,80.76,79,17,14.67,KI,1673922203
170,Santa Cruz de La Palma,28.6835,-17.7642,64.54,59,100,6.91,ES,1673922204
171,Saldanha,-33.0117,17.9442,60.85,89,3,4.7,ZA,1673922205
172,Buluang,13.3068,123.3425,81.03,80,100,6.17,PH,1673922205
173,Eureka,40.8021,-124.1637,48.92,87,45,5.01,US,1673922119
174,Departamento de Maldonado,-34.6667,-54.9167,69.22,81,0,8.57,UY,1673922137
175,Stornoway,58.2093,-6.3865,31.96,89,75,9.22,GB,1673922206
176,Qaanaaq,77.484,-69.3632,-13.34,62,70,5.77,GL,1673922131
177,San Andrés,12.5847,-81.7006,78.82,73,40,11.5,CO,1673922208
178,Moose Factory,51.2585,-80.6094,32.0,64,100,3.44,CA,1673922209
179,Bismil,37.8486,40.6658,38.93,81,51,2.95,TR,1673922210
180,Ko Samui,9.5357,99.9357,80.51,69,20,3.44,TH,1673922211
181,Alta Floresta,-9.8756,-56.0861,71.2,96,100,1.28,BR,1673921978
182,Harnai,30.1005,67.9374,42.87,27,0,3.06,PK,1673922212
183,Vicam,27.6333,-110.2833,60.98,72,3,3.04,MX,1673922212
